area_code,description,enabled
AL,Albania,false
AT,,false
BY,Belarus,false
BE,,false
BA,Bosnia Herzegovina,false
BG,,false
HR,,false
CY,Cyprus,false
CZ,,false
DE_LU,"German bidding zone (+ Luxemburg) since 2018",true
DE_AT_LU,old German zone,false
CZ_DE_SK,old German zone,false
DK_1,,false
DK_2,,false
EE,Estonia,false
FI,,false
MK,Macedonia,false
FR,,true
GR,,false
IS,Iceland,false
HU,,false
IE_SEM,Ireland and Northern Ireland,false
IT_CNOR,"Italy has lots of virtual zones to manage congestion",false
IT_CSUD,"Italy has lots of virtual zones to manage congestion",false
IT_NORD,"Italy has lots of virtual zones to manage congestion",false
IT_SARD,"Italy has lots of virtual zones to manage congestion",false
IT_SICI,"Italy has lots of virtual zones to manage congestion",false
IT_SUD,"Italy has lots of virtual zones to manage congestion",false
RU_KGD,"Kaliningrad (Russia)",false
LV,,false
LT,,false
MT,Malta,false
ME,"Montenegro (not coupled?)",false
GB,"No(t much?) data since Brexit",false
GE,"Georgia (not coupled?)",false
NL,,false
NO_1,"Norway has 5 zones",false
NO_2,"Norway has 5 zones",false
NO_3,"Norway has 5 zones",false
NO_4,"Norway has 5 zones",false
NO_5,"Norway has 5 zones",false
PL,,false
PT,,false
MD,Moldova,false
RO,,false
RU,Russia,false
SE_1,,false
SE_2,,false
SE_3,,false
SE_4,,false
RS,"Serbia (not coupled?)",false
SK,Slovakia,false
SI,Slovenia,false
ES,,true
CH,,false
TR,"Turkey (not coupled)",false
UA,"Ukraine (not coupled, just synchronized?)",false
XK,"Kosovo (not coupled)",false
