project,scenario,tech,variant,pipeline,area,start_date,end_date
DE_2023_baseline,dedicated_res,wind_onshore,country-average,res_cf,de,20230101,20231231
DE_2023_baseline,dedicated_res,solar,country-average,res_cf,de,20230101,20231231
DE_2023_baseline,wind_only,wind_onshore,country-average,res_cf,de,20230101,20231231
DE_2023_baseline,solar_only,solar,country-average,res_cf,de,20230101,20231231
DE_2023_baseline,grid_connected,wind_onshore,country-average,res_cf,de,20230101,20231231
DE_2023_baseline,grid_connected,solar,country-average,res_cf,de,20230101,20231231
DE_2023_baseline,grid_connected,grid,dayahead,entsoe,DE_LU,20230101,20231231
VIC_2025_test,grid_only,grid,dayahead,nem,VIC1,20250101,20251231
VIC_2025_solar_ew,ew_sweep,solar_ew,bestsite_p95_n7,res_cf,aus,20250101,20251231
VIC_2025_solar_ew_hielcost,ew_sweep,solar_ew,bestsite_p95_n7,res_cf,aus,20250101,20251231
VIC_2025_solar_ew_hiallcost,ew_sweep,solar_ew,bestsite_p95_n7,res_cf,aus,20250101,20251231
VIC_2025_solar_ew_noopt,ew_sweep,solar_ew,bestsite_p95_n7_noopt,res_cf,aus,20250101,20251231
